"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.801217818656647,3.01877656405306,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=80%, list=12%, signal=71%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/RPL15/UBA52/RPL14/RPL41",NA
"GO:1901740","negative regulation of myoblast fusion",45,0.801217818656647,3.01877656405306,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=80%, list=12%, signal=71%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/RPL15/UBA52/RPL14/RPL41",NA
"GO:1901739","regulation of myoblast fusion",51,0.768444985799958,2.99647333072854,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=73%, list=12%, signal=64%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0000768","syncytium formation by plasma membrane fusion",56,0.742659215178079,2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=68%, list=12%, signal=60%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0006949","syncytium formation",56,0.742659215178079,2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=68%, list=12%, signal=60%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0140253","cell-cell fusion",56,0.742659215178079,2.99064602124404,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=68%, list=12%, signal=60%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0007520","myoblast fusion",54,0.754717590969637,2.96295586738433,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=70%, list=12%, signal=62%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",52,0.759035793646219,2.9549945867341,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=71%, list=12%, signal=63%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0014902","myotube differentiation",68,0.68427253294531,2.85089459727196,1e-10,2.36125e-08,2.14530696650009e-08,1033,"tags=57%, list=12%, signal=51%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41",NA
"GO:0002181","cytoplasmic translation",185,0.567336650930863,2.78676963376342,1e-10,2.36125e-08,2.14530696650009e-08,1090,"tags=41%, list=13%, signal=37%","RPL11/RPS15A/RPL30/RPL5/RPS13/RPL32/RPS23/RPS7/PABPC1/RPL18/RPL10/RPS27A/RPL9/RPL7/RPL6/RPS8/RPL22/RPS28/RPS24/RPS10/RPL4/RPL18A/EEF1D/RPL36A/RPL34/FAU/RPS15/RPL29/RPL24/RPL17/RPL19/RPL12/RPS2/RPL21/RPL10A/RPL7A/RPS21/EEF2/DENR/RPLP2/RPSA/RACK1/RPS14/RPL35A/RPL26/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/DDRGK1/ZNF598/RPS3/TCF25/RPS12/RPS25/RPS5/RPL8/YBX1/RNF25/RPS4X/RPL35/FTSJ1/RPS6/RPL13/RPL15/RPS3A/DHX29/SAYSD1/UBA52/RPS9/RPL14/RPL41/EIF2B3/FMR1",NA
"GO:0006941","striated muscle contraction",82,0.643087253164615,2.74876320011779,1e-10,2.36125e-08,2.14530696650009e-08,1221,"tags=61%, list=15%, signal=53%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/RPL21/RPL10A/RPL7A/EEF2/RPLP2/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3",NA
"GO:0051146","striated muscle cell differentiation",97,0.610616744023995,2.69657363650543,1e-10,2.36125e-08,2.14530696650009e-08,1200,"tags=52%, list=14%, signal=45%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/CD81/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/MTLN/FLII/KDM6B/RPL8/RPL35/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/RPL14/RPL41/WDR1/TOMM70/NOTCH1/RPL38",NA
"GO:0042692","muscle cell differentiation",134,0.554299315074532,2.5635511957469,1e-10,2.36125e-08,2.14530696650009e-08,1200,"tags=44%, list=14%, signal=38%","RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/OLFM2/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/SRF/CD81/TMEM204/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/ACTN1/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/MTLN/FLII/CDK9/KDM6B/RPL8/RPL35/KDM1A/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/QKI/RPL14/RPL41/CHRNB1/WDR1/TOMM70/NOTCH1/RPL38",NA
